Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,n_cols,attrition_yes,attrition_no,total,attrition_rate,attrition_lift
Young,Travel_Frequently,,,,,,,,,Sales Representative,,,,,,,,,,,,,,,,,3,10,2,12,0.8333,5.1688
,,,,,,Low,,Low,,,,,,,,Medium,,,,,,,,,,,3,10,2,12,0.8333,5.1688
,,,,,,,,,,Sales Representative,,,,,Yes,,,,,Junior,,,,,,,3,14,3,17,0.8235,5.108
,,,,,Technical Degree,,,,,,,Single,,,,,,,,,,,New,,,,3,9,2,11,0.8182,5.0748
,,,,,,,,,,Sales Representative,Medium,,,,,,,,No Stock,,,,,,,,3,9,2,11,0.8182,5.0748
,,,,,,,,Low,,,,,,,Yes,,,,No Stock,,,,,,,,3,9,2,11,0.8182,5.0748
Young,,,,,,,,Low,,,,,,,,,,,No Stock,,,,,,,,3,9,2,11,0.8182,5.0748
,,,,,,,,,Entry,,,,,,Yes,,,,,,,Low,,,,,3,9,2,11,0.8182,5.0748
,,,,,,,,Low,,,,,,,,,,,,Junior,,,New,,,,3,9,2,11,0.8182,5.0748
,,,,,,Low,,,,,,,,Many,Yes,,,,,,,,,,,,3,9,2,11,0.8182,5.0748
,,Sales,,,,,,Low,,,,,,,,,,,,,,,New,,,,3,9,2,11,0.8182,5.0748
,,,,,,,,Low,Entry,,,,,,Yes,,,,,,,,,,,,3,8,2,10,0.8,4.962
,,,,,,,,Low,,,,,,Few,,,,,,,,,New,,,,3,8,2,10,0.8,4.962
,,,,,,,,Medium,,,,,,,Yes,,,,,,Low,,,,,,3,8,2,10,0.8,4.962
,,,,,,Low,,,,Laboratory Technician,,,,,Yes,,,,,,,,,,,,3,8,2,10,0.8,4.962
,,,,,,,,,,Sales Representative,,,,,Yes,,,,,,,,New,,,,3,8,2,10,0.8,4.962
,,,,,,,,,,Sales Representative,,,,,Yes,,,,No Stock,,,,,,,,3,12,3,15,0.8,4.962
,Travel_Frequently,,,,,,,,,,,,Low,Many,,,,,,,,,,,,,3,8,2,10,0.8,4.962
,,,,,,,,Low,,,,,Low,,,,,,,,,,New,,,,3,8,2,10,0.8,4.962
,Travel_Frequently,,,,Technical Degree,,,,,,,,,,,,,,,,,,,,,New,3,8,2,10,0.8,4.962
,,,,,,,,,,Sales Representative,,,,,Yes,Medium,,,,,,,,,,,3,8,2,10,0.8,4.962
,,,,,,,,,,,,,,,Yes,High,,,,Junior,,,,,,,3,16,4,20,0.8,4.962
,,,,,,,,,,Sales Representative,,Single,,,Yes,,,,,,,,,,,,3,11,3,14,0.7857,4.8734
,Travel_Rarely,,,,,,,,,Laboratory Technician,,,,,,,,,,,,Low,,,,,3,11,3,14,0.7857,4.8734
,,,,,Marketing,,,,Entry,,,,,,,,,,,,,,,,Recent,,3,11,3,14,0.7857,4.8734
,,,,,,,,,,Sales Representative,,,,,Yes,,Excellent,,,,,,,,,,3,14,4,18,0.7778,4.8242
,,,,,Marketing,,,,,,,Single,,,Yes,,,,,,,,,,,,3,14,4,18,0.7778,4.8242
,,,,,,,,,,Sales Representative,,,,,Yes,,,,,,,,,,,New,3,14,4,18,0.7778,4.8242
,,,Far,,,Low,,,,,,,,,Yes,,,,,,,,,,,,3,10,3,13,0.7692,4.7712
,,,,,,Low,,,Entry,,,,,,Yes,,,,,,,,,,,,3,20,6,26,0.7692,4.7712
,,,,,,Low,,,Entry,,,,,,,,,,,,,Very High,,,,,3,10,3,13,0.7692,4.7712
,,,Far,,,,,,,,,,Low,,Yes,,,,,,,,,,,,3,20,6,26,0.7692,4.7712
,,,,,,,,Low,Entry,,,,,,,,,,No Stock,,,,,,,,3,10,3,13,0.7692,4.7712
,Travel_Frequently,,,,,,,,,Sales Representative,,,,,,,,,,,,,,,Recent,,3,13,4,17,0.7647,4.7431
,Travel_Frequently,,,,,,,,,Sales Representative,,,,Few,,,,,,,,,,,,,3,13,4,17,0.7647,4.7431
,,,,,,,,Low,,,,,,,,,,,No Stock,,,,New,,,,3,9,3,12,0.75,4.6519
,,,,,,Low,,,,,,,,,Yes,,,,,,,,,,Mid,,3,9,3,12,0.75,4.6519
Young,,,,,Marketing,,,,,,,Single,,,,,,,,,,,,,,,3,9,3,12,0.75,4.6519
,,,,,,Low,,,,Laboratory Technician,Low,,,,,,,,,,,,,,,,3,9,3,12,0.75,4.6519
Young,,,,,Technical Degree,,,,,,,,,,,,,,No Stock,,,,,,,,3,18,6,24,0.75,4.6519
Mid,,,,,,,,,,Laboratory Technician,,,,,,,,,,,,Low,,,,,3,9,3,12,0.75,4.6519
,,,,,Life Sciences,,,,,Laboratory Technician,,,,,,,,,,,,Low,,,,,3,9,3,12,0.75,4.6519
,,,,,,,Male,,,Laboratory Technician,,,,,,,,,,,,Low,,,,,3,12,4,16,0.75,4.6519
,Travel_Frequently,,,,,,,,,,,Single,,,,,,,,Junior,,,,,,,3,18,6,24,0.75,4.6519
,,,,,,,,,,,,Single,,,Yes,,,,,,,,,,Long,,3,12,4,16,0.75,4.6519
,,,Far,,Marketing,,,,,,,,,,Yes,,,,,,,,,,,,3,9,3,12,0.75,4.6519
Young,Travel_Frequently,,,,,,,,,,,,,,,,,,,,,,New,,,,3,18,6,24,0.75,4.6519
,,,,,Marketing,,,,,,,,Low,,,,,,,,,,,,Recent,,3,9,3,12,0.75,4.6519
,,,,,,,,Low,,,,,Low,,,,,,,,,,,New,,,3,9,3,12,0.75,4.6519
,,,,,,,,,,Laboratory Technician,,,,,Yes,,,,No Stock,,,,,,,,3,17,6,23,0.7391,4.5845
Young,,,,,Technical Degree,,,,,,,Single,,,,,,,,,,,,,,,3,17,6,23,0.7391,4.5845
,Travel_Frequently,,,,,,,,,Sales Representative,,,,,,,,,,,,,,New,,,3,14,5,19,0.7368,4.5703
,,,,,,,,,Entry,Laboratory Technician,,,,,,,,,,,,Low,,,,,3,14,5,19,0.7368,4.5703
,Travel_Frequently,,,,,,,,,Sales Representative,,,,,,,,,,Junior,,,,,,,3,14,5,19,0.7368,4.5703
,,,,,,Low,,Low,,,,,,,,,Excellent,,,,,,,,,,3,11,4,15,0.7333,4.5485
,,,,,,,,Low,,,,,,,,,,,,Junior,,,,New,,,3,11,4,15,0.7333,4.5485
,Travel_Frequently,,,,,,,,,Sales Representative,,,,,,,,,,,,,New,,,,3,11,4,15,0.7333,4.5485
,,,,,,,,,,,Low,Single,,,,,Outstanding,,,,,,,,,,3,11,4,15,0.7333,4.5485
,,,,,Marketing,,,,,Sales Representative,,,,,,,,,,,,,,,Recent,,3,11,4,15,0.7333,4.5485
,,,,,,,,,,Sales Representative,,,,,Yes,,,,,,,High,,,,,3,11,4,15,0.7333,4.5485
,,,,,Technical Degree,,,,,,,,,,,,,,No Stock,,,,New,,,,3,11,4,15,0.7333,4.5485
,Travel_Frequently,,,,,,,,,,,,,,,,,,No Stock,Junior,,,,,,,3,19,7,26,0.7308,4.5326
,,,,,,,,,,,,,,,Yes,,,,,,,Low,,New,,,3,8,3,11,0.7273,4.5109
Young,,,,,Marketing,,,,,,,,,,,,,,,,,,New,,,,3,8,3,11,0.7273,4.5109
,,Sales,,,,,,,Entry,,,,,,Yes,,,,,,,,,,,,3,16,6,22,0.7273,4.5109
,,,,,,,,,Entry,Sales Representative,,,,,Yes,,,,,,,,,,,,3,16,6,22,0.7273,4.5109
,,,Medium,,,,,Low,,,,,,,,,,,No Stock,,,,,,,,3,8,3,11,0.7273,4.5109
,,,,,,,Female,Low,,,,,,,,,,,No Stock,,,,,,,,3,8,3,11,0.7273,4.5109
,,,,,Marketing,,,,,Sales Representative,,,,,,,,,No Stock,,,,,,,,3,8,3,11,0.7273,4.5109
,,,,,,Low,,,,,,,,Many,,,,Medium,,,,,,,,,3,8,3,11,0.7273,4.5109
,,,,,Marketing,,,,Entry,,,,,,,,,,No Stock,,,,,,,,3,8,3,11,0.7273,4.5109
Young,,,,,Marketing,,,,,Sales Representative,,,,,,,,,,,,,,,,,3,8,3,11,0.7273,4.5109
,,,,,,,,Low,,,,,,,,,,,,Junior,Medium,,,,,,3,8,3,11,0.7273,4.5109
Young,,,,,Marketing,,,,Entry,,,,,,,,,,,,,,,,,,3,8,3,11,0.7273,4.5109
,,,,,Marketing,,,,,,,,,,Yes,,,,,,,,New,,,,3,8,3,11,0.7273,4.5109
,,,,,,,,Low,,,,Single,,,,,,,,,,,New,,,,3,8,3,11,0.7273,4.5109
,,,,,Marketing,,,,,,,,,,Yes,,,,No Stock,,,,,,,,3,16,6,22,0.7273,4.5109
,,,,,Life Sciences,,,,,,,Single,,,,,,,,,,Low,,,,,3,8,3,11,0.7273,4.5109
,,,,,,,,Low,Entry,,,Single,,,,,,,,,,,,,,,3,8,3,11,0.7273,4.5109
,Travel_Frequently,,,,,,,,,Sales Representative,,,,,,,,,,,Medium,,,,,,3,13,5,18,0.7222,4.4796
,,,,,,,,,,Laboratory Technician,,,,,Yes,,,Very High,,,,,,,,,3,13,5,18,0.7222,4.4796
,,,,,,,,,,Sales Representative,,,,,Yes,,,,,,Medium,,,,,,3,13,5,18,0.7222,4.4796
,,,Far,,,,,,Entry,,,,,,Yes,,,,,,,,,,,,3,23,9,32,0.7188,4.4581
,,,,,,,,,,,,Single,,,Yes,,,,,Junior,,,,,,,3,28,11,39,0.7179,4.4531
Young,,,,,,,,,,,,,,,Yes,,,,,,,,New,,,,3,28,11,39,0.7179,4.4531
,,,,,,Low,,,,,,,,,Yes,,,Medium,,,,,,,,,3,10,4,14,0.7143,4.4304
,Travel_Frequently,,,,,,,,Entry,,Low,,,,,,,,,,,,,,,,3,10,4,14,0.7143,4.4304
,,,,,,,,High,,Laboratory Technician,,,,,,,,,,,,Low,,,,,3,10,4,14,0.7143,4.4304
,,,,,,,,,,,,,Low,,,,,,,,,Very High,New,,,,3,10,4,14,0.7143,4.4304
Young,,,,,,,,,,,,,,,Yes,,,,,,High,,,,,,3,15,6,21,0.7143,4.4304
,,,,,,,,,,,,,,,Yes,,Outstanding,,,,,,New,,,,3,12,5,17,0.7059,4.3783
,,,,,,,,,,,,Single,,,,,Outstanding,,,Junior,,,,,,,3,12,5,17,0.7059,4.3783
,,,,,,Low,,Low,,,,,,,,,,,,,,,,,,,2,12,5,17,0.7059,4.3783
,,,,,,,,,,,,Single,Low,,Yes,,,,,,,,,,,,3,31,13,44,0.7045,4.37
Young,,,,,,,,,,,,,Low,,Yes,,,,,,,,,,,,3,40,17,57,0.7018,4.3527
,,Research & Development,,,,,,,,Laboratory Technician,,,,,,,,,,,,Low,,,,,3,14,6,20,0.7,4.3418
,,,Medium,,,,,,,Laboratory Technician,,,,,,,,,,,,Low,,,,,3,7,3,10,0.7,4.3418
,,,,,,,Male,,,,Low,,,,,,,,,,,Low,,,,,3,7,3,10,0.7,4.3418
,Travel_Frequently,,,,Technical Degree,,,,,,,,,,,,,,,,,,,New,,,3,7,3,10,0.7,4.3418
,,,,,,,,Low,,,,,,,,,,Very High,No Stock,,,,,,,,3,7,3,10,0.7,4.3418
Young,,,,,,,,Medium,,Sales Representative,,,,,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
,,,,,,,Female,Low,,,,Single,,,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
,,,,,,,,,,Laboratory Technician,,,,,,,,,,,,Low,,,,,2,14,6,20,0.7,4.3418
,,,,,,,,,,Laboratory Technician,,,,,Yes,,Outstanding,,,,,,,,,,3,7,3,10,0.7,4.3418
,,,,,Marketing,,,,,,,,Low,,,,,,No Stock,,,,,,,,3,7,3,10,0.7,4.3418
,,,,,,Medium,,,,Sales Representative,,Single,,,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
,,,,,,,,Low,,,,,,,Yes,,,,,,,,,New,,,3,7,3,10,0.7,4.3418
,,,,Bachelor,,Low,,,,,,,,,,,,,,,,Very High,,,,,3,7,3,10,0.7,4.3418
Young,,,,,Marketing,,,,,,,,Low,,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
,,,,,,,,,,Laboratory Technician,,,,Few,,,,,,,,Low,,,,,3,7,3,10,0.7,4.3418
,,,,,,,,,,Sales Representative,,,,,Yes,,,,,,,,,,Recent,,3,14,6,20,0.7,4.3418
,,,,,,Low,,Low,,,,,,,,,,,,Mid,,,,,,,3,7,3,10,0.7,4.3418
,,,,,,,,,Entry,,,,,,Yes,,,,,,,,,,Long,,3,7,3,10,0.7,4.3418
,,Sales,,,,,,,,,,,Low,,Yes,,,,,,,,,,,,3,14,6,20,0.7,4.3418
,,,,,,Very High,,,Entry,,,,,,,,,,,,,Low,,,,,3,7,3,10,0.7,4.3418
Young,,,,,Technical Degree,Low,,,,,,,,,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
,Travel_Frequently,,,,,,,Low,,,,,,,,,,,No Stock,,,,,,,,3,7,3,10,0.7,4.3418
Young,,,,,,Medium,,,,Sales Representative,,,,,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
Young,,,,,,Low,,,,,,,,Some,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
,,,,,,,,,,,,Single,Low,Many,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
,Travel_Frequently,,,,,,,,,,,,Low,,Yes,,,,,,,,,,,,3,21,9,30,0.7,4.3418
,,,,Bachelor,,Low,,,,,,,,,Yes,,,,,,,,,,,,3,14,6,20,0.7,4.3418
,Travel_Frequently,,,,,,,,,,Low,,,,,,,,,,,,New,,,,3,7,3,10,0.7,4.3418
,,,,Bachelor,,,,,,Laboratory Technician,,,,,,,,,,,,Low,,,,,3,7,3,10,0.7,4.3418
,Travel_Frequently,,,,Technical Degree,,Male,,,,,,,,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
,,,,,,Low,Male,Low,,,,,,,,,,,,,,,,,,,3,7,3,10,0.7,4.3418
,,,,,,,,Low,,,,,,,,,,,No Stock,,High,,,,,,3,7,3,10,0.7,4.3418
,,,,,,,,,,Sales Representative,,,Low,,Yes,,,,,,,,,,,,3,14,6,20,0.7,4.3418
,,,,,Marketing,Low,,,,,,,,,,,,,No Stock,,,,,,,,3,9,4,13,0.6923,4.2941
,,,,,,,,Low,,,,,Low,,,,,,,Junior,,,,,,,3,9,4,13,0.6923,4.2941
,Travel_Frequently,,,,,,Female,,,Sales Representative,,,,,,,,,,,,,,,,,3,9,4,13,0.6923,4.2941
,,,,,,,Female,,,Sales Representative,,,,,Yes,,,,,,,,,,,,3,9,4,13,0.6923,4.2941
,,,,,,,,,,,Low,,,,,High,,,,,,,New,,,,3,9,4,13,0.6923,4.2941
,,,,,,,,,,Laboratory Technician,,,Low,,,,,,,,,Low,,,,,3,9,4,13,0.6923,4.2941
,,,,,Technical Degree,,,,,,,Single,,,,,,,,Junior,,,,,,,3,9,4,13,0.6923,4.2941
,,,,,Technical Degree,,,,,,Low,,,,,,,,No Stock,,,,,,,,3,9,4,13,0.6923,4.2941
,,,,,Technical Degree,,,,,,Low,Single,,,,,,,,,,,,,,,3,9,4,13,0.6923,4.2941
Young,,,,Master,,,,,,,,,,,Yes,,,,,,,,,,,,3,9,4,13,0.6923,4.2941
,,,,,,,,,,,,Single,,,Yes,,,,,,,,New,,,,3,29,13,42,0.6905,4.2827
,,Sales,,,,,,Low,,,,,,,,,,,No Stock,,,,,,,,3,11,5,16,0.6875,4.2642
,,,,,,,,,Entry,,,,,,,,,,,,,Very High,New,,,,3,11,5,16,0.6875,4.2642
,,,,,,,,,,,,,Low,Many,Yes,,,,,,,,,,,,3,11,5,16,0.6875,4.2642
Young,,,,,,Low,,,,,,,,,Yes,,,,,,,,,,,,3,11,5,16,0.6875,4.2642
,Travel_Frequently,,,,,,,,,,,Single,,,,,,Low,,,,,,,,,3,11,5,16,0.6875,4.2642
,,,,,,,,,,Laboratory Technician,Low,,,,,,,,,,,,New,,,,3,11,5,16,0.6875,4.2642
,,,,,,,,,,Laboratory Technician,,Single,,,Yes,,,,,,,,,,,,3,13,6,19,0.6842,4.2438
,,,,,,,Female,,,Sales Representative,,Single,,,,,,,,,,,,,,,3,13,6,19,0.6842,4.2438
,,,,,,,,,,Sales Representative,,,,,Yes,,,,,,,,,New,,,3,13,6,19,0.6842,4.2438
,,,,,,,,,,,,Single,,,,,Outstanding,,,,,,New,,,,3,13,6,19,0.6842,4.2438
,Travel_Frequently,Sales,,,,,,,Entry,,,,,,,,,,,,,,,,,,3,15,7,22,0.6818,4.229
,,,Far,,,,,,,,,,,,Yes,,,,,Junior,,,,,,,3,15,7,22,0.6818,4.229
,Travel_Frequently,,,,,,,,Entry,Sales Representative,,,,,,,,,,,,,,,,,3,15,7,22,0.6818,4.229
,,,,,,,,,,Sales Representative,,,,Few,Yes,,,,,,,,,,,,3,15,7,22,0.6818,4.229
,,,,Bachelor,,,,,,Laboratory Technician,,,,,Yes,,,,,,,,,,,,3,17,8,25,0.68,4.2177
,,,,,,,,,,,Medium,Single,,,Yes,,,,,,,,,,,,3,17,8,25,0.68,4.2177
,,,,,,,,,,,,,Low,,Yes,,,,No Stock,,,,,,,,3,40,19,59,0.678,4.2051
,,,,,,,,,Entry,,,Single,,,Yes,,,,,,,,,,,,3,40,19,59,0.678,4.2051
,,,,,,,,Medium,,,,,Low,,Yes,,,,,,,,,,,,3,21,10,31,0.6774,4.2017
Young,,,,,,,,,Entry,,,,,,Yes,,,,,,,,,,,,3,48,23,71,0.6761,4.1933
,,,,,,,,,,,,,Low,,Yes,,,,,,,,New,,,,3,33,16,49,0.6735,4.1772
,,,Near,,,,,,,,,,,Many,,,,,,Junior,,,,,,,3,8,4,12,0.6667,4.135
,Travel_Frequently,,Near,,,,,,,Sales Representative,,,,,,,,,,,,,,,,,3,8,4,12,0.6667,4.135
,,,,,,Low,,,,Laboratory Technician,,,,,,,Outstanding,,,,,,,,,,3,8,4,12,0.6667,4.135
,,,,,Technical Degree,,,,,,,,,,,,,,No Stock,Junior,,,,,,,3,10,5,15,0.6667,4.135
,,,,,,,,Medium,,Laboratory Technician,,,,,Yes,,,,,,,,,,,,3,10,5,15,0.6667,4.135
,,,,,,Low,,,,,,,,,Yes,,,,,,,,,,,New,3,18,9,27,0.6667,4.135
,Travel_Frequently,Sales,,,,,,,,,,,,,Yes,,,,,,,,,,,,3,14,7,21,0.6667,4.135
,,,,,,,,,,Sales Representative,,,,,Yes,,,,,,,,,,,,2,16,8,24,0.6667,4.135
,,,Far,,,,,,,,,Single,,,Yes,,,,,,,,,,,,3,20,10,30,0.6667,4.135
,,,,,,,Female,,,,,,Low,,,,,,,,,Very High,,,,,3,8,4,12,0.6667,4.135
,,,,,,Low,,,Entry,,Low,,,,,,,,,,,,,,,,3,14,7,21,0.6667,4.135
Young,,,,,,,,,,,,,,,,,,,,,,Very High,New,,,,3,8,4,12,0.6667,4.135
,,,Far,,,,,,,,Medium,,,,Yes,,,,,,,,,,,,3,12,6,18,0.6667,4.135
,,,,Bachelor,,,,,,,,,,,Yes,,,,,Junior,,,,,,,3,22,11,33,0.6667,4.135
,,Sales,,,,,Female,Low,,,,,,,,,,,,,,,,,,,3,8,4,12,0.6667,4.135
,,,,,,Low,,Low,,,,,,,,,,,,,,,,,Recent,,3,8,4,12,0.6667,4.135
,Travel_Frequently,,,,Technical Degree,,,,Entry,,,,,,,,,,,,,,,,,,3,8,4,12,0.6667,4.135
,,,,,,,,Low,,,,,,,,Medium,,,,,,,New,,,,3,8,4,12,0.6667,4.135
,,,,,,,,,,,,,,,Yes,,,,No Stock,Junior,,,,,,,3,32,16,48,0.6667,4.135
Young,Travel_Frequently,,,,,,,,,,,,,,,,,Low,,,,,,,,,3,8,4,12,0.6667,4.135
,,,,College,,,,,,,,,,,Yes,,,Low,,,,,,,,,3,8,4,12,0.6667,4.135
,,Sales,,,,,,,,Sales Representative,,,,,Yes,,,,,,,,,,,,3,16,8,24,0.6667,4.135
,,,,,,,,,,,,,,,Yes,,Outstanding,,No Stock,,,,,,,,3,18,9,27,0.6667,4.135
,,,,,,,,Low,,,,,,,,,,,No Stock,,,,,New,,,3,12,6,18,0.6667,4.135
,,,,,,,,Medium,,,,,Low,Many,,,,,,,,,,,,,3,10,5,15,0.6667,4.135
,Travel_Frequently,,,,,,,,Entry,,,,,,Yes,,,,,,,,,,,,3,26,13,39,0.6667,4.135
Young,Travel_Frequently,,,,,,,,,,,,Low,,,,,,,,,,,,,,3,24,12,36,0.6667,4.135
,,,,,,,,,,,Medium,,Low,,,,,Low,,,,,,,,,3,8,4,12,0.6667,4.135
,,,,,Marketing,,,,,,Medium,Single,,,,,,,,,,,,,,,3,8,4,12,0.6667,4.135
,Travel_Frequently,,,,,,,,,,,Single,,,,,,,,,,,New,,,,3,16,8,24,0.6667,4.135
,,,,,,,,Low,,,,,Low,,,,,,,,,,,,,New,3,10,5,15,0.6667,4.135
,,,,,,,,,,,Low,,,,,,Outstanding,,No Stock,,,,,,,,3,14,7,21,0.6667,4.135
,,,,,,,,,,,,Single,,,Yes,High,,,,,,,,,,,3,18,9,27,0.6667,4.135
,,,,,,,,Low,Entry,,,,,,,,,,,,,,New,,,,3,8,4,12,0.6667,4.135
Young,Travel_Frequently,,,,Technical Degree,,,,,,,,,,,,,,,,,,,,,,3,8,4,12,0.6667,4.135
,Travel_Frequently,,,,,,,,,,,,,,Yes,,,Low,,,,,,,,,3,8,4,12,0.6667,4.135
,,,,,Marketing,,,,Entry,,,,,Few,,,,,,,,,,,,,3,12,6,18,0.6667,4.135
,,,,,,,,,,Laboratory Technician,,,,,Yes,,,,,Junior,,,,,,,3,16,8,24,0.6667,4.135
Young,,,,,,,,,,,,,,Some,,,,,No Stock,,,,,,,,3,10,5,15,0.6667,4.135
,,,,,,,,,Entry,,,,,,Yes,,,,No Stock,,,,,,,,3,50,25,75,0.6667,4.135
,,,,,,,,,,Laboratory Technician,,,,,,,,,No Stock,,,Low,,,,,3,8,4,12,0.6667,4.135
,,,,,,,,,,,,Single,,,Yes,,,Medium,,,,,,,,,3,18,9,27,0.6667,4.135
,,,,,Marketing,,,,,,,,,,Yes,,,,,Junior,,,,,,,3,8,4,12,0.6667,4.135
,,,Near,,,,,,,Sales Representative,,,,,Yes,,,,,,,,,,,,3,8,4,12,0.6667,4.135
,,,,,,,,,,,,,,,Yes,,,,,Junior,,,New,,,,3,34,17,51,0.6667,4.135
Young,,,,,,,,,,,Low,,,,,,,,,,,,New,,,,3,16,8,24,0.6667,4.135
,,,,,,,,,,,,Single,,,Yes,,Outstanding,,,,,,,,,,3,16,8,24,0.6667,4.135
,,,,,,,,,,,,Single,,,,,Outstanding,Low,,,,,,,,,3,8,4,12,0.6667,4.135
,,,Far,,,,,,,,Medium,,,,,,,,,Junior,,,,,,,3,8,4,12,0.6667,4.135
,,,,,,,,,,,,,,,Yes,,,,No Stock,,,,New,,,,3,36,18,54,0.6667,4.135
,Travel_Frequently,,,,,,,,,Sales Representative,,,,,,,,,,,,,,,,New,3,14,7,21,0.6667,4.135
,,,,Bachelor,,,,,,,,,Low,,Yes,,,,,,,,,,,,3,29,15,44,0.6591,4.088
Young,,,,,,,,,,,,Single,,,Yes,,,,,,,,,,,,3,29,15,44,0.6591,4.088
,Travel_Frequently,,,,,,,,,,,,,,,,,,,,,,New,,Recent,,3,27,14,41,0.6585,4.0846
,,Sales,,,,,,,,,,Single,,,Yes,,,,,,,,,,,,3,32,17,49,0.6531,4.0506
,Travel_Frequently,,,,,,,,,Sales Representative,,,Low,,,,,,,,,,,,,,3,15,8,23,0.6522,4.0451
,Travel_Frequently,,,,,,,,,Sales Representative,,,,,,,,,,,,,,,,,2,15,8,23,0.6522,4.0451
,Travel_Frequently,Sales,,,,,,,,,,,Low,,,,,,,,,,,,,,3,15,8,23,0.6522,4.0451
,,,,,,,,,,,Low,,Low,,Yes,,,,,,,,,,,,3,15,8,23,0.6522,4.0451
,Travel_Frequently,Sales,,,,,,,,Sales Representative,,,,,,,,,,,,,,,,,3,15,8,23,0.6522,4.0451
,Travel_Frequently,,,,,,,,,,,,,,Yes,,,,,,,,New,,,,3,15,8,23,0.6522,4.0451
,,,,,,,,,,Sales Representative,,Single,,,,Medium,,,,,,,,,,,3,13,7,20,0.65,4.0316
,,,,,,,,,,,,Single,,,Yes,,,Low,,,,,,,,,3,13,7,20,0.65,4.0316
,Travel_Frequently,,,,,,,,,,,,,,,,,Low,No Stock,,,,,,,,3,13,7,20,0.65,4.0316
,,,,,Technical Degree,,,,,,,,Low,,,,,,No Stock,,,,,,,,3,13,7,20,0.65,4.0316
,,,,,,,Female,,,Sales Representative,,,,,,,,,No Stock,,,,,,,,3,13,7,20,0.65,4.0316
,,,,,,Low,,Medium,,,,,,,,,,,,Junior,,,,,,,3,11,6,17,0.6471,4.0134
,,,,,,,,,,Sales Executive,,,,,Yes,,,,,,,,,,Mid,,3,11,6,17,0.6471,4.0134
,,,,Bachelor,,,,,,Sales Representative,,Single,,,,,,,,,,,,,,,3,11,6,17,0.6471,4.0134
,,,,,,Low,,,,,Medium,Single,,,,,,,,,,,,,,,3,11,6,17,0.6471,4.0134
,,,,,,,,Low,,,,,,,,,,,,Junior,,,,,,,2,11,6,17,0.6471,4.0134
,,,,,,,,Low,,,,,,,,,,,,Junior,,,,,,New,3,11,6,17,0.6471,4.0134
,,,,,Technical Degree,,,,,,,Single,Low,,,,,,,,,,,,,,3,11,6,17,0.6471,4.0134
,,,,,,,,,,,Low,Single,,,,,,Low,,,,,,,,,3,11,6,17,0.6471,4.0134
